 21 1803.618476 2.862E-29 1.164E-03.06780.083 3135.79180.74-.002108       3 1 1 04       1 2 2 02                    P 37f     3666632429 9 9 711    73.0   75.0
 21 1803.730863 4.369E-30 2.479E-04.06870.087 3174.04060.74-.002093       3 1 1 03       1 2 2 01                    P 32e     3666632429 9 9 711    63.0   65.0
 21 1803.794867 1.003E-27 8.635E-04.06510.072 2413.51360.74-.002197       2 1 1 03       0 2 2 01                    P 52e     3655532429 9 9 711   103.0  105.0
 21 1803.796817 2.817E-29 8.275E-04.06830.085 3051.23550.74-.002098       3 1 1 04       1 2 2 02                    P 34e     3666632429 9 9 711    67.0   69.0
 21 1803.849242 4.807E-29 3.237E-05.07300.098 2152.32960.70-.002104       2 2 2 03       0 3 3 01                    P 19e     3666632429 9 9 711    37.0   39.0
 21 1804.009296 2.304E-30 1.300E-02.06530.073 4217.30850.74-.002190       4 0 0 05       2 1 1 03                    P 51e     3655532429 9 9 711   101.0  103.0
 21 1804.009842 3.733E-30 1.064E-04.07660.104 2858.06840.68-.001111       3 1 1 03       2 0 0 01                    R 12e     3666632429 9 9 711    27.0   25.0
 21 1804.061210 4.809E-30 8.028E-05.07820.107 2714.95150.68-.000945       2 3 3 03       0 4 4 01                    R 10e     3666632429 9 9 711    23.0   21.0
 21 1804.331197 4.359E-30 2.720E-04.06850.086 3199.88000.74-.002095       3 1 1 03       1 2 2 01                    P 33f     3666632429 9 9 711    65.0   67.0
 21 1804.405483 4.144E-30 2.033E-02.05780.065 4273.91600.66-.002407       3 0 0 04       1 1 1 02                    P 77e     3655532429 9 9 711   153.0  155.0
 21 1804.631022 3.946E-29 2.615E-05.07350.099 2137.42300.70-.002109       2 2 2 03       0 3 3 01                    P 18f     3666632429 9 9 711    35.0   37.0
 21 1804.840259 1.092E-30 1.387E-02.05020.062 4521.45860.59-.002594       2 0 0 03       0 1 1 01                    P 99e     3644432438 9 9 711   197.0  199.0
 21 1804.845655 5.840E-30 9.362E-05.07740.105 2723.59860.68-.001012       2 3 3 03       0 4 4 01                    R 11f     3666632429 9 9 711    25.0   23.0
 21 1805.032263 3.116E-29 1.017E-03.06810.084 3078.62760.74-.002101       3 1 1 04       1 2 2 02                    P 35f     3666632429 9 9 711    69.0   71.0
 21 1805.042676 7.523E-28 1.134E-03.06450.071 2540.15630.73-.002220       2 1 1 03       0 2 2 01                    P 55f     3655532429 9 9 711   109.0  111.0
 21 1805.180655 1.875E-27 5.478E-05.07520.102 1470.11880.69-.001232       2 1 1 03       1 0 0 01                    R 14e     3666632429 9 9 711    31.0   29.0
